FinalID,GB_chloro_count,GB_mito_count,GB_mito_fl_count,CommonName,ParentOrganismFinalID,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,GenusComplex,Genus,SpeciesComplex,Species,Subspecies,Variety,TaxonomicLevelCode
Acaulon,5,0,0,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Acaulon,NA,Acaulon,NA,NA,50
Acaulon rufescens,0,0,0,NA,Acaulon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Acaulon,NA,Acaulon rufescens,NA,NA,60
Acaulon triquetrum,4,0,0,NA,Acaulon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Acaulon,NA,Acaulon triquetrum,NA,NA,60
Aloina,8,1,1,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Aloina,NA,Aloina,NA,NA,50
Aloina ambigua,0,0,0,NA,Aloina,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Aloina,NA,Aloina ambigua,NA,NA,60
Aloina bifrons,0,0,0,NA,Aloina,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Aloina,NA,Aloina bifrons,NA,NA,60
Aloina rigida,6,1,1,NA,Aloina,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Aloina,NA,Aloina rigida,NA,NA,60
Amblystegiaceae,2259,43,45,NA,Hypnales,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,NA,NA,Amblystegiaceae,NA,NA,40
Amblystegium,36,1,1,NA,Amblystegiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,NA,NA,Amblystegium,NA,NA,50
Amblystegium juratzkanum,0,0,0,NA,Amblystegium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Amblystegium,NA,Amblystegium juratzkanum,NA,NA,60
Amblystegium radicale,0,0,0,NA,Amblystegium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Amblystegium,NA,Amblystegium radicale,NA,NA,60
Amblystegium serpens,24,1,1,NA,Amblystegium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Amblystegium,NA,Amblystegium serpens,NA,NA,60
Amblystegium varium,16,1,1,NA,Amblystegium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Amblystegium,NA,Amblystegium varium,NA,NA,60
Anacolia,31,1,1,NA,Bartramiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Anacolia,NA,Anacolia,NA,NA,50
Anacolia baueri,0,0,0,NA,Anacolia,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Anacolia,NA,Anacolia baueri,NA,NA,60
Anacolia laevisphaera,23,0,0,NA,Anacolia,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Anacolia,NA,Anacolia laevisphaera,NA,NA,60
Anacolia menziesii,5,0,0,NA,Anacolia,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Anacolia,NA,Anacolia menziesii,NA,NA,60
Anoectangium,16,1,1,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Anoectangium,NA,Anoectangium,NA,NA,50
Anoectangium handelii,0,0,0,NA,Anoectangium,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Anoectangium,NA,Anoectangium handelii,NA,NA,60
Anomobryum,35,4,4,NA,Bryaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Anomobryum,NA,Anomobryum,NA,NA,50
Anomobryum concinnatum,0,0,0,NA,Anomobryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Anomobryum,NA,Anomobryum concinnatum,NA,NA,60
Anomobryum julaceum,10,2,2,NA,Anomobryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Anomobryum,NA,Anomobryum julaceum,NA,NA,60
Aulacomniaceae,235,15,17,NA,Aulacomniales,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Aulacomniales,NA,NA,Aulacomniaceae,NA,NA,NA,NA,NA,Aulacomniaceae,NA,NA,40
Aulacomnium,81,7,9,NA,Aulacomniaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Aulacomniales,NA,NA,Aulacomniaceae,NA,NA,NA,Aulacomnium,NA,Aulacomnium,NA,NA,50
Aulacomnium androgynum,13,5,5,NA,Aulacomnium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Aulacomniales,NA,NA,Aulacomniaceae,NA,NA,NA,Aulacomnium,NA,Aulacomnium androgynum,NA,NA,60
Aulacomnium palustre,33,0,0,NA,Aulacomnium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Aulacomniales,NA,NA,Aulacomniaceae,NA,NA,NA,Aulacomnium,NA,Aulacomnium palustre,NA,NA,60
Barbula,39,1,1,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Barbula,NA,Barbula,NA,NA,50
Barbula bolleana,5,0,0,NA,Barbula,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Barbula,NA,Barbula bolleana,NA,NA,60
Barbula convoluta,11,0,0,NA,Barbula,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Barbula,NA,Barbula convoluta,NA,NA,60
Barbula eustegia,0,0,0,NA,Barbula,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Barbula,NA,Barbula eustegia,NA,NA,60
Barbula unguiculata,14,1,1,NA,Barbula,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Barbula,NA,Barbula unguiculata,NA,NA,60
Bartramia,170,59,64,NA,Bartramiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Bartramia,NA,Bartramia,NA,NA,50
Bartramia ithyphylla,25,0,0,NA,Bartramia,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Bartramia,NA,Bartramia ithyphylla,NA,NA,60
Bartramia pomiformis,32,42,45,NA,Bartramia,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Bartramia,NA,Bartramia pomiformis,NA,NA,60
Bartramia stricta,17,2,2,NA,Bartramia,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Bartramia,NA,Bartramia stricta,NA,NA,60
Bartramiaceae,413,67,72,NA,Bartramiales,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,NA,NA,Bartramiaceae,NA,NA,40
Brachytheciaceae,3336,53,56,NA,Hypnales,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,NA,NA,Brachytheciaceae,NA,NA,40
Brachythecium,449,12,14,NA,Brachytheciaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Brachythecium,NA,Brachythecium,NA,NA,50
Brachythecium albicans,40,0,0,NA,Brachythecium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Brachythecium,NA,Brachythecium albicans,NA,NA,60
Brachythecium asperrimum,4,0,0,NA,Brachythecium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Brachythecium,NA,Brachythecium asperrimum,NA,NA,60
Brachythecium bolanderi,3,0,0,NA,Brachythecium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Brachythecium,NA,Brachythecium bolanderi,NA,NA,60
Brachythecium calcareum,0,0,0,NA,Brachythecium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Brachythecium,NA,Brachythecium calcareum,NA,NA,60
Brachythecium collinum,25,0,0,NA,Brachythecium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Brachythecium,NA,Brachythecium collinum,NA,NA,60
Brachythecium erythrorrhizon,15,0,0,NA,Brachythecium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Brachythecium,NA,Brachythecium erythrorrhizon,NA,NA,60
Brachythecium fendleri,2,0,0,NA,Brachythecium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Brachythecium,NA,Brachythecium fendleri,NA,NA,60
Brachythecium frigidum,7,0,0,NA,Brachythecium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Brachythecium,NA,Brachythecium frigidum,NA,NA,60
Brachythecium holzingeri,0,0,0,NA,Brachythecium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Brachythecium,NA,Brachythecium holzingeri,NA,NA,60
Brachythecium leibergii,2,0,0,NA,Brachythecium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Brachythecium,NA,Brachythecium leibergii,NA,NA,60
Brachythecium nelsonii,0,0,0,NA,Brachythecium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Brachythecium,NA,Brachythecium nelsonii,NA,NA,60
Brachythecium rivulare,32,1,3,NA,Brachythecium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Brachythecium,NA,Brachythecium rivulare,NA,NA,60
Brachythecium rutabulum,48,9,9,NA,Brachythecium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Brachythecium,NA,Brachythecium rutabulum,NA,NA,60
Brachythecium salebrosum,52,2,2,NA,Brachythecium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Brachythecium,NA,Brachythecium salebrosum,NA,NA,60
Brachythecium velutinum,20,0,0,NA,Brachythecium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Brachythecium,NA,Brachythecium velutinum,NA,NA,60
Brachythecium venustum,3,0,0,NA,Brachythecium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Brachythecium,NA,Brachythecium venustum,NA,NA,60
Bryaceae,919,87,87,NA,Bryales,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,NA,NA,Bryaceae,NA,NA,40
Bryoerythrophyllum,100,1,1,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Bryoerythrophyllum,NA,Bryoerythrophyllum,NA,NA,50
Bryoerythrophyllum columbianum,0,0,0,NA,Bryoerythrophyllum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Bryoerythrophyllum,NA,Bryoerythrophyllum columbianum,NA,NA,60
Bryoerythrophyllum ferruginascens,4,0,0,NA,Bryoerythrophyllum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Bryoerythrophyllum,NA,Bryoerythrophyllum ferruginascens,NA,NA,60
Bryoerythrophyllum recurvirostrum,19,0,0,NA,Bryoerythrophyllum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Bryoerythrophyllum,NA,Bryoerythrophyllum recurvirostrum,NA,NA,60
Bryum,352,50,50,NA,Bryaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Bryum,NA,Bryum,NA,NA,50
Bryum argentum,114,44,44,NA,Bryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Bryum,NA,Bryum argentum,NA,NA,60
Bryum blindii,0,0,0,NA,Bryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Bryum,NA,Bryum blindii,NA,NA,60
Bryum calobryoides,0,0,0,NA,Bryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Bryum,NA,Bryum calobryoides,NA,NA,60
Bryum chryseum,0,0,0,NA,Bryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Bryum,NA,Bryum chryseum,NA,NA,60
Bryum lanatum,0,0,0,NA,Bryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Bryum,NA,Bryum lanatum,NA,NA,60
Bucklandiella,45,1,3,NA,Grimmiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Bucklandiella,NA,Bucklandiella,NA,NA,50
Bucklandiella affinis,0,0,0,NA,Bucklandiella,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Bucklandiella,NA,Bucklandiella affinis,NA,NA,60
Bucklandiella heteroscticha,7,0,0,NA,Bucklandiella,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Bucklandiella,NA,Bucklandiella heteroscticha,NA,NA,60
Bucklandiella lawtoniae,1,0,0,NA,Bucklandiella,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Bucklandiella,NA,Bucklandiella lawtoniae,NA,NA,60
Bucklandiella macounii,0,0,0,NA,Bucklandiella,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Bucklandiella,NA,Bucklandiella macounii,NA,NA,60
Bucklandiella microcarpa,1,0,0,NA,Bucklandiella,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Bucklandiella,NA,Bucklandiella microcarpa,NA,NA,60
Bucklandiella obesa,1,0,0,NA,Bucklandiella,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Bucklandiella,NA,Bucklandiella obesa,NA,NA,60
Bucklandiella occidentalis,0,0,0,NA,Bucklandiella,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Bucklandiella,NA,Bucklandiella occidentalis,NA,NA,60
Bucklandiella pacifica,0,0,0,NA,Bucklandiella,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Bucklandiella,NA,Bucklandiella pacifica,NA,NA,60
Bucklandiella sudetica,3,0,0,NA,Bucklandiella,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Bucklandiella,NA,Bucklandiella sudetica,NA,NA,60
Campylium,35,3,3,NA,Amblystegiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Campylium,NA,Campylium,NA,NA,50
Campylium chrysophyllum,11,1,1,NA,Campylium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Campylium,NA,Campylium chrysophyllum,NA,NA,60
Campylium hispidulum,1,0,0,NA,Campylium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Campylium,NA,Campylium hispidulum,NA,NA,60
Ceratodon,292,14,14,NA,Ditrichaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Ceratodon,NA,Ceratodon,NA,NA,50
Ceratodon purpureus,292,14,14,NA,Ceratodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Ceratodon,NA,Ceratodon purpureus,NA,NA,60
Ceratodon stenocarpus,0,0,0,NA,Ceratodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Ceratodon,NA,Ceratodon stenocarpus,NA,NA,60
Claopodium,21,2,2,NA,Leskeaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Leskeaceae,NA,NA,NA,Claopodium,NA,Claopodium,NA,NA,50
Claopodium bolanderi,1,0,0,NA,Claopodium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Leskeaceae,NA,NA,NA,Claopodium,NA,Claopodium bolanderi,NA,NA,60
Claopodium crispifolium,4,0,0,NA,Claopodium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Leskeaceae,NA,NA,NA,Claopodium,NA,Claopodium crispifolium,NA,NA,60
Claopodium whippleanum,5,1,1,NA,Claopodium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Leskeaceae,NA,NA,NA,Claopodium,NA,Claopodium whippleanum,NA,NA,60
Codriophorus,16,0,2,NA,Grimmiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Codriophorus,NA,Codriophorus,NA,NA,50
Codriophorus depressus,0,0,0,NA,Codriophorus,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Codriophorus,NA,Codriophorus depressus,NA,NA,60
Codriophorus norrissii,2,0,0,NA,Codriophorus,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Codriophorus,NA,Codriophorus norrissii,NA,NA,60
Conardia,4,1,1,NA,Amblystegiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Conardia,NA,Conardia,NA,NA,50
Conardia compacta,4,1,1,NA,Conardia,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Conardia,NA,Conardia compacta,NA,NA,60
Conostomum,11,1,1,NA,Bartramiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Conostomum,NA,Conostomum,NA,NA,50
Conostomum tetragonum,6,1,1,NA,Conostomum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Conostomum,NA,Conostomum tetragonum,NA,NA,60
Coscinodon,27,4,4,NA,Grimmiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Coscinodon,NA,Coscinodon,NA,NA,50
Coscinodon calyptratus,4,1,1,NA,Coscinodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Coscinodon,NA,Coscinodon calyptratus,NA,NA,60
Coscinodon sp. nov.,27,4,4,NA,Coscinodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Coscinodon,NA,Coscinodon sp. nov.,NA,NA,60
Cratoneuron,160,3,3,NA,Amblystegiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Cratoneuron,NA,Cratoneuron,NA,NA,50
Cratoneuron filicinum,157,2,2,NA,Cratoneuron,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Cratoneuron,NA,Cratoneuron filicinum,NA,NA,60
Crossidium,4,1,1,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Crossidium,NA,Crossidium,NA,NA,50
Crossidium aberrans,0,0,0,NA,Crossidium,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Crossidium,NA,Crossidium aberrans,NA,NA,60
Crossidium crassinerve,1,1,1,NA,Crossidium,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Crossidium,NA,Crossidium crassinerve,NA,NA,60
Crossidium seriatum,0,0,0,NA,Crossidium,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Crossidium,NA,Crossidium seriatum,NA,NA,60
Crossidium squamiferum,1,0,0,NA,Crossidium,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Crossidium,NA,Crossidium squamiferum,NA,NA,60
Crumia,1,1,1,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Crumia,NA,Crumia,NA,NA,50
Crumia latifolia,1,1,1,NA,Crumia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Crumia,NA,Crumia latifolia,NA,NA,60
Dichelyma,13,1,1,NA,Fontinalaceae,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,Fontinalaceae,NA,NA,NA,Dichelyma,NA,Dichelyma,NA,NA,50
Dichelyma uncinatum,1,0,0,NA,Dichelyma,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,Fontinalaceae,NA,NA,NA,Dichelyma,NA,Dichelyma uncinatum,NA,NA,60
Didymodon,445,1,1,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon,NA,NA,50
Didymodon australasiae,14,0,0,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon australasiae,NA,NA,60
